method,sim_setup,beta_int,epsilon,abs_err_mean,abs_err_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,delta_rmse_mean,delta_rmse_sd,delta_r2_mean,delta_r2_sd
DPWGAN,constant,0.0,1.0,0.41298185693647715,0.2815548845911782,1.9001714172549238,0.38580729166498545,-0.3258922075788666,0.5045958981621834,1.3953903770377223,0.38580729166498545,-1.2353112342928305,0.5045958981621834
DPWGAN,constant,0.0,2.0,0.09205351318349117,0.08614036083625429,1.2128443895070895,0.23753166424825733,0.46102708737171005,0.19598003688798837,0.7080633492898877,0.23753166424825733,-0.448391939342254,0.19598003688798837
DPWGAN,constant,0.0,3.0,0.03324672650776572,0.04619083413722343,0.8147769068287467,0.19877450381035774,0.7527652023310097,0.11177773419133885,0.309995866611545,0.1987745038103577,-0.15665382438295425,0.11177773419133885
DPWGAN,constant,0.0,4.0,0.00997265654384314,0.01455956520417823,0.5770014814394198,0.03742013498190735,0.8812472733594966,0.015295534026475063,0.07222044122221807,0.03742013498190737,-0.028171753354467356,0.015295534026475058
DPWGAN,constant,0.0,5.0,0.003702568717342166,0.0034865666447001188,0.5465377275454586,0.03400710578960446,0.8934841378453168,0.013382017662801022,0.04175668732825684,0.034007105789604405,-0.015934888868647155,0.013382017662801051
DPWGAN,constant,0.5,1.0,0.4796225303870674,0.2937259828114686,2.2210752524627217,0.48480238646650625,0.33203508978045126,0.28552740506529006,1.722951065718263,0.48480238646650625,-0.6356012968021371,0.28552740506529006
DPWGAN,constant,0.5,2.0,0.5555554245365193,0.043407007669596896,2.1721384454712007,0.5955180264327394,0.34759595301319834,0.350852632908457,1.6740142587267421,0.5955180264327394,-0.62004043356939,0.350852632908457
DPWGAN,constant,0.5,3.0,0.5089053900596207,0.008824181523895858,1.4850121578528799,0.19605741801001259,0.7083541106984452,0.07742116153850391,0.986887971108421,0.19605741801001256,-0.25928227588414304,0.07742116153850391
DPWGAN,constant,0.5,4.0,0.49471434519447144,0.01976401227342842,1.2000480670178413,0.1478654430866189,0.8098824952060607,0.045801912800997754,0.7019238802733825,0.1478654430866189,-0.15775389137652762,0.04580191280099776
DPWGAN,constant,0.5,5.0,0.3159983017103214,0.1317721700055093,0.8012445254608785,0.20157007734849045,0.9120244708007796,0.04392719497438149,0.3031203387164197,0.20157007734849045,-0.055611915781808706,0.043927194974381474
DPWGAN,constant,1.0,1.0,1.2847052663405225,0.5835209436965773,3.65135879388731,2.177394631323019,-0.04507782275878909,1.202698469260163,3.1500551734333873,2.177394631323019,-1.0297417850746537,1.202698469260163
DPWGAN,constant,1.0,2.0,0.966133095917767,0.09009398300560884,2.56547361349007,0.32351638352946643,0.5932414094404741,0.09766290117767906,2.0641699930361472,0.32351638352946643,-0.39142255287539063,0.09766290117767903
DPWGAN,constant,1.0,3.0,1.0047765726723346,0.017546892075872268,2.44039260704049,0.3783296848589774,0.6295737082404432,0.1121211580195313,1.939088986586567,0.3783296848589774,-0.35509025407542144,0.1121211580195313
DPWGAN,constant,1.0,4.0,0.9776721984430008,0.02468010017627332,2.1529218708710642,0.15735479066624106,0.7159334686581816,0.04202943497932834,1.651618250417141,0.157354790666241,-0.26873049365768303,0.04202943497932835
DPWGAN,constant,1.0,5.0,0.6127320859740001,0.25106570963032193,1.3756673764420757,0.46794839316951,0.8738211162866756,0.07685248192870696,0.8743637559881527,0.46794839316951,-0.11084284602918915,0.07685248192870699
DPWGAN,constant,2.0,1.0,2.185109407708449,1.7106846117122876,7.394797769607791,4.7707464590480955,-0.7829688427821111,2.314081325357617,6.894891352955599,4.7707464590480955,-1.7768559474252323,2.314081325357617
DPWGAN,constant,2.0,2.0,2.1129141745689317,0.2397141379998741,5.340858768529378,1.279238811734857,0.2702399871011433,0.3424873021460115,4.840952351877185,1.279238811734857,-0.7236471175419783,0.34248730214601153
DPWGAN,constant,2.0,3.0,1.9786532401180008,0.028173247495617632,4.07234593925187,0.6297121097557266,0.5865834249618399,0.13410848844041282,3.572439522599679,0.6297121097557266,-0.40730367968128167,0.13410848844041282
DPWGAN,constant,2.0,4.0,1.9676020883467475,0.0398339132826243,3.6930825326984036,0.1220472373321131,0.6660919819281476,0.02215355355719244,3.1931761160462115,0.1220472373321131,-0.3277951227149741,0.022153553557192444
DPWGAN,constant,2.0,5.0,0.9840201302158519,0.8061031862972713,2.114396137007041,1.1329102340203128,0.865528088705303,0.10625593485472577,1.614489720354849,1.1329102340203128,-0.12835901593781862,0.10625593485472579
DPWGAN,constant,3.0,1.0,3.036974299457974,2.396212251772689,11.043993570707617,4.00292453525915,-0.7700863711286705,1.2183816906603366,10.549673958141451,4.002924535259151,-1.766877463290657,1.2183816906603369
DPWGAN,constant,3.0,2.0,3.2054120236141608,0.4634278977134543,7.017983598565652,1.6791786155951,0.3235828418496439,0.32372386563381167,6.523663985999488,1.6791786155951005,-0.6732082503123423,0.3237238656338116
DPWGAN,constant,3.0,3.0,2.978818699290285,0.10093605348928236,6.637897406114848,1.2022859065474298,0.40618162639999245,0.2182430103649764,6.143577793548684,1.20228590654743,-0.5906094657619938,0.2182430103649764
DPWGAN,constant,3.0,4.0,2.8215446937705324,0.2742938941958593,5.483801182383914,0.8910286711488489,0.596742850232182,0.13194919059523005,4.98948156981775,0.8910286711488488,-0.40004824192980426,0.13194919059523005
DPWGAN,constant,3.0,5.0,2.3830817796367514,0.6633825819286956,4.766163797591571,2.075623846356755,0.6564204898343696,0.30290279225066724,4.271844185025406,2.075623846356755,-0.34037060232761657,0.30290279225066724
DPWGAN,constant,5.0,1.0,4.81679795235104,0.6999104800413252,23.584219148481854,21.981317583794176,-3.4416738083711693,7.742607354150484,23.085220906905754,21.981317583794176,-4.440500682961048,7.742607354150482
DPWGAN,constant,5.0,2.0,4.998722891096993,0.6316758185734492,12.706836230593265,3.025529054158482,0.2047846462218975,0.39503558357820284,12.207837989017168,3.025529054158482,-0.7940422283679811,0.3950355835782028
