method,sim_setup,beta_int,epsilon,rep,seed,status,synth_file,sigma,epochs,beta123_real,se_real,p_real,R2_real_train,beta123_syn,se_syn,p_syn,R2_syn_train,abs_err_beta123,RMSE_holdout,R2_holdout,RMSE_real_holdout,R2_real_holdout,delta_RMSE_holdout,delta_R2_holdout
DPWGAN,constant,0.0,1.0,1,10101001,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_1\synthetic_rep_01.csv,2.0,20,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,-0.9057041380896905,0.25035550154590064,0.0002983112934102101,0.6075713370964964,0.9065435434372049,2.377710832877685,-1.00978216152515,0.5047810402172017,0.909419026713964,1.8729297926604833,-1.9192011882391142
DPWGAN,constant,0.0,1.0,2,10101002,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_1\synthetic_rep_02.csv,2.0,20,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,-0.19237807731066714,0.17714421673634287,0.27749905523620544,0.6263176526539161,0.19321748265818156,1.3193031015791004,0.3812430626501916,0.5047810402172017,0.909419026713964,0.8145220613618986,-0.5281759640637724
DPWGAN,constant,0.0,1.0,3,10101003,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_1\synthetic_rep_03.csv,2.0,20,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,-0.32596420708611223,0.1691046968347199,0.053926593523574644,0.7638310716258002,0.32680361243362666,1.9182277375514323,-0.30807078933988796,0.5047810402172017,0.909419026713964,1.4134466973342306,-1.217489816053852
DPWGAN,constant,0.0,1.0,4,10101004,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_1\synthetic_rep_04.csv,2.0,20,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,-0.3274418818211459,0.12920370729134487,0.011277801978072146,0.6364139172687288,0.32828128716866034,1.828844040892005,-0.189006578261121,0.5047810402172017,0.909419026713964,1.3240630006748033,-1.098425604975085
DPWGAN,constant,0.0,1.0,5,10101005,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_1\synthetic_rep_05.csv,2.0,20,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,-0.30922395363719796,0.09570573593679375,0.001236489201964202,0.7866829425983485,0.3100633589847124,2.0567713733743966,-0.5038445714183655,0.5047810402172017,0.909419026713964,1.551990333157195,-1.4132635981323296
DPWGAN,constant,0.0,2.0,1,10102001,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_2\synthetic_rep_01.csv,2.0,74,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,-0.06059912782846734,0.02049880697554836,0.0031194742290858173,0.8104460177397507,0.061438533175981754,1.285504410030561,0.41254033128853607,0.5047810402172017,0.909419026713964,0.7807233698133593,-0.49687869542542795
DPWGAN,constant,0.0,2.0,2,10102002,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_2\synthetic_rep_02.csv,2.0,74,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,-0.014650288180398086,0.0022494091976675047,7.620609020354761e-11,0.9283401826438292,0.015489693527912499,0.871848072656635,0.7297830809534931,0.5047810402172017,0.909419026713964,0.3670670324394333,-0.17963594576047093
DPWGAN,constant,0.0,2.0,3,10102003,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_2\synthetic_rep_03.csv,2.0,74,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,-0.0720082176563267,0.01863618052692159,0.00011209733872472834,0.8788772334948739,0.07284762300384111,1.4028738964629746,0.3003703878616555,0.5047810402172017,0.909419026713964,0.8980928562457728,-0.6090486388523085
DPWGAN,constant,0.0,2.0,4,10102004,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_2\synthetic_rep_04.csv,2.0,74,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,-0.2396295143309975,0.04339773137892623,3.417052519645744e-08,0.8386489988769287,0.24046891967851192,1.4322060099336391,0.27080799564700675,0.5047810402172017,0.909419026713964,0.9274249697164374,-0.6386110310669573
DPWGAN,constant,0.0,2.0,5,10102005,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_2\synthetic_rep_05.csv,2.0,74,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,0.07086220187872298,0.046807907142614735,0.13007535595254335,0.8023572570057356,0.07002279653120858,1.0717895584516375,0.5916336411078587,0.5047810402172017,0.909419026713964,0.5670085182344358,-0.31778538560610536
DPWGAN,constant,0.0,3.0,1,10103001,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_3\synthetic_rep_01.csv,2.0,143,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,0.005458069807928876,0.00289678643357422,0.05956121716441898,0.9594617417759866,0.004618664460414463,0.5649794021263504,0.8865260575976084,0.5047810402172017,0.909419026713964,0.060198361909148734,-0.022892969116355633
DPWGAN,constant,0.0,3.0,2,10103002,OK,higher_order_dpwgan_sweep_constant\beta_int_0.000\eps_3\synthetic_rep_02.csv,2.0,143,0.0008394053475144127,0.0023708667995082262,0.723306760807837,0.9117721034054187,0.002046505077828026,0.009267554744459061,0.825232145671408,0.8679047774520657,0.001207099730313613,0.8923021692199729,0.7169554403161229,0.5047810402172017,0.909419026713964,0.38752112900277114,-0.1924635863978411
