method,sim_setup,beta_int,epsilon,rep,seed,status,synth_file,sigma,epochs,beta123_real,se_real,p_real,R2_real_train,beta123_syn,se_syn,p_syn,R2_syn_train,abs_err_beta123,RMSE_holdout,R2_holdout,RMSE_real_holdout,R2_real_holdout,delta_RMSE_holdout,delta_R2_holdout
DPWGAN,constant,0.0,1.0,1,10101001,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_1/synthetic_rep_01.csv,2.0,20,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.7001415481316046,0.26346407920153864,0.007882465374733093,0.6064869332565936,0.7033917581086282,1.8635614427086689,-0.21177366216578375,0.5018448458988594,0.9121234470955876,1.3617165968098095,-1.1238971092613714
DPWGAN,constant,0.0,1.0,2,10101002,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_1/synthetic_rep_02.csv,2.0,20,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.2056744674068816,0.17752707637008983,0.2466583460266168,0.6554000490307824,0.20892467738390527,1.378299386806213,0.3371409314330682,0.5018448458988594,0.9121234470955876,0.8764545409073536,-0.5749825156625193
DPWGAN,constant,0.0,1.0,3,10101003,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_1/synthetic_rep_03.csv,2.0,20,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.283054729344253,0.13896992222587873,0.04168830178113764,0.7936085418910173,0.2863049393212767,1.4677613367585594,0.24829928501270204,0.5018448458988594,0.9121234470955876,0.9659164908597,-0.6638241620828855
DPWGAN,constant,0.0,1.0,4,10101004,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_1/synthetic_rep_04.csv,2.0,20,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.2788931286589094,0.1193726139293373,0.019488392380909193,0.6403635134065024,0.2821433386359331,1.8474847362301319,-0.19095621276996888,0.5018448458988594,0.9121234470955876,1.3456398903312725,-1.1030796598655566
DPWGAN,constant,0.0,1.0,5,10101005,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_1/synthetic_rep_05.csv,2.0,20,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.3164779930724549,0.10545333263581824,0.0026946371832708067,0.7903181023834702,0.3197282030494786,2.068744645651993,-0.49330270060628423,0.5018448458988594,0.9121234470955876,1.5668997997531335,-1.405426147701872
DPWGAN,constant,0.0,1.0,6,10101006,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_1/synthetic_rep_06.csv,2.0,20,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.18426728963091663,0.04732098821393835,9.90682679279412e-05,0.8921330996160923,0.18101707965389296,1.4374515693469996,0.279024479803085,0.5018448458988594,0.9121234470955876,0.9356067234481402,-0.6330989672925026
DPWGAN,constant,0.0,1.0,7,10101007,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_1/synthetic_rep_07.csv,2.0,20,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.08599353196348836,0.20686451526775312,0.6776360826059669,0.6764814833623094,0.0827433219864647,0.8542966021699122,0.7453454534321652,0.5018448458988594,0.9121234470955876,0.35245175627105285,-0.16677799366342239
DPWGAN,constant,0.0,1.0,8,10101008,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_1/synthetic_rep_08.csv,2.0,20,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.03800550358199086,0.10600349845515394,0.7199516413954101,0.44134966745357296,0.034755293604967194,1.811488922861238,-0.14499988155657473,0.5018448458988594,0.9121234470955876,1.3096440769623787,-1.0571233286521622
DPWGAN,constant,0.0,1.0,9,10101009,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_1/synthetic_rep_09.csv,2.0,20,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.8418370807722835,0.14918555930034547,1.7046681264649348e-08,0.6745359036268356,0.8450872907493071,2.9046760063074695,-1.9439435012113302,0.5018448458988594,0.9121234470955876,2.40283116040861,-2.8560669483069177
DPWGAN,constant,0.0,2.0,1,10102001,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_2/synthetic_rep_01.csv,2.0,74,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.07523399545822934,0.02265343299057585,0.0008989747359979763,0.8151865650579858,0.078484205435253,1.357691094991776,0.35681484023546217,0.5018448458988594,0.9121234470955876,0.8558462490929166,-0.5553086068601254
DPWGAN,constant,0.0,2.0,2,10102002,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_2/synthetic_rep_02.csv,2.0,74,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.062071007288118374,0.00699008390179997,7.498462749537516e-19,0.8559505798864624,0.06532121726514203,1.1450457594706944,0.5425119421592428,0.5018448458988594,0.9121234470955876,0.6432009135718351,-0.36961150493634476
DPWGAN,constant,0.0,2.0,3,10102003,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_2/synthetic_rep_03.csv,2.0,74,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.030118161690651984,0.008831353079151477,0.0006505859278102529,0.9279197738211642,0.03336837166767565,0.836659889269306,0.7557514614201629,0.5018448458988594,0.9121234470955876,0.33481504337044665,-0.15637198567542465
DPWGAN,constant,0.0,2.0,4,10102004,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_2/synthetic_rep_04.csv,2.0,74,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.031938165646751414,0.016666436543313012,0.05534518565901271,0.9307512426349973,0.028687955669727747,0.5766073244322408,0.8839902780453898,0.5018448458988594,0.9121234470955876,0.07476247853338147,-0.028133169050197804
DPWGAN,constant,0.0,2.0,5,10102005,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_2/synthetic_rep_05.csv,2.0,74,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.019934193812245645,0.024584056119792246,0.4174606578634569,0.856979161165709,0.01668398383522198,0.961589981218024,0.6773631744832571,0.5018448458988594,0.9121234470955876,0.4597451353191646,-0.23476027261233046
DPWGAN,constant,0.0,2.0,6,10102006,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_2/synthetic_rep_06.csv,2.0,74,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.0027058759823974793,0.034930909525558496,0.9382558097673893,0.806178595232182,0.005956085959421145,0.858153200256066,0.7430410617046277,0.5018448458988594,0.9121234470955876,0.35630835435720665,-0.16908238539095988
DPWGAN,constant,0.0,2.0,7,10102007,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_2/synthetic_rep_07.csv,2.0,74,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.0079772597881662,0.01731244712110769,0.6449623535270943,0.8043571332103003,0.011227469765189865,0.6259517658209699,0.8632851109963005,0.5018448458988594,0.9121234470955876,0.12410691992211054,-0.048838336099287116
DPWGAN,constant,0.0,2.0,8,10102008,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_2/synthetic_rep_08.csv,2.0,74,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.03940204859794651,0.027067211210652413,0.14549484606106353,0.8719125069189501,0.042652258574970174,0.7223185562821003,0.817949607202172,0.5018448458988594,0.9121234470955876,0.22047371038324093,-0.09417383989341555
DPWGAN,constant,0.0,2.0,9,10102009,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_2/synthetic_rep_09.csv,2.0,74,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.040482802555536726,0.01374307330563887,0.003227683052088234,0.888819386717943,0.03723259257851306,0.7451184608790378,0.8062754220644214,0.5018448458988594,0.9121234470955876,0.2432736149801784,-0.10584802503116619
DPWGAN,constant,0.0,3.0,1,10103001,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_3/synthetic_rep_01.csv,2.0,143,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.0061434694636975755,0.00214671246227172,0.004218625711846593,0.9692058360317078,0.00289325948667391,0.5556468235995026,0.8922712183186907,0.5018448458988594,0.9121234470955876,0.05380197770064321,-0.019852228776896852
DPWGAN,constant,0.0,3.0,2,10103002,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_3/synthetic_rep_02.csv,2.0,143,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.005259195276373679,0.011652037155718555,0.6517413214406418,0.8522628088541402,0.002008985299350013,0.9136774167495543,0.7087138350775746,0.5018448458988594,0.9121234470955876,0.4118325708506949,-0.203409612018013
DPWGAN,constant,0.0,3.0,3,10103003,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_3/synthetic_rep_03.csv,2.0,143,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.0032896783843686115,0.001221484649443386,0.007085831729175072,0.9861255466008122,3.946840734494594e-05,0.5826157497531841,0.8815599675570391,0.5018448458988594,0.9121234470955876,0.08077090385432473,-0.030563479538548433
DPWGAN,constant,0.0,3.0,4,10103004,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_3/synthetic_rep_04.csv,2.0,143,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.3132184081645587,0.05276355186393747,2.9849073175906514e-09,0.5082255815625699,0.309968198187535,2.025545165692252,-0.4315876377356447,0.5018448458988594,0.9121234470955876,1.5237003197933927,-1.3437110848312321
DPWGAN,constant,0.0,3.0,5,10103005,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_3/synthetic_rep_05.csv,2.0,143,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.030355389803633507,0.00955291487010242,0.0014881977909942789,0.9217393080215563,0.03360559978065717,0.7858431475640383,0.7845205703073826,0.5018448458988594,0.9121234470955876,0.2839983016651789,-0.12760287678820492
DPWGAN,constant,0.0,3.0,6,10103006,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_3/synthetic_rep_06.csv,2.0,143,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,0.008850163366390556,0.0021186172970688727,2.967401380934991e-05,0.9579803736386373,0.005599953389366891,0.7509949636632346,0.8032076891750124,0.5018448458988594,0.9121234470955876,0.24915011776437523,-0.10891575792057517
DPWGAN,constant,0.0,3.0,7,10103007,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_3/synthetic_rep_07.csv,2.0,143,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.015030966975202538,0.0028972796725015982,2.1558217444679042e-07,0.9525315247404138,0.018281176952226204,0.5328556786448573,0.900927465541185,0.5018448458988594,0.9121234470955876,0.03101083274599792,-0.011195981554402601
DPWGAN,constant,0.0,3.0,8,10103008,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_3/synthetic_rep_08.csv,2.0,143,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.01698981969997462,0.003831108778275543,9.290323151272582e-06,0.961266221425883,0.020240029676998283,0.6536311012692047,0.8509268275515216,0.5018448458988594,0.9121234470955876,0.1517862553703453,-0.06119661954406597
DPWGAN,constant,0.0,3.0,9,10103009,OK,higher_order_dpwgan_sweep_constant/beta_int_0.000/eps_3/synthetic_rep_09.csv,2.0,143,0.0032502099770236655,0.002401736920982416,0.17598972904622592,0.9098250796946211,-0.0002572391404363269,0.0005442453453587646,0.6364682074441503,0.983059845710468,0.0035074491174599924,0.8555398841199042,0.7446037021849552,0.5018448458988594,0.9121234470955876,0.35369503822104487,-0.16751974491063237
