method,sim_setup,beta_int,epsilon,abs_err_mean,abs_err_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,delta_rmse_mean,delta_rmse_sd,delta_r2_mean,delta_r2_sd
DPWGAN,nonconstant,0.0,1.0,0.3780195129235375,0.2864596955547019,1.9351671670763566,0.49531090800187316,-0.2500428738670292,0.5474862322424734,0.9255728119130561,0.4953109080018732,-0.9267493068478746,0.5474862322424734
DPWGAN,nonconstant,0.0,2.0,0.045793518180527806,0.09540077284004675,1.3384822863942403,0.2964380102852178,0.40946658279473835,0.2648524243371356,0.32888793123094023,0.2964380102852179,-0.267239850186107,0.2648524243371356
DPWGAN,nonconstant,0.0,3.0,0.018782967758007252,0.021610597429667817,1.6542289973990365,0.5520096201158186,0.05473137466505322,0.6320732218359145,0.6446346422357363,0.5520096201158186,-0.6219750583157923,0.6320732218359145
DPWGAN,nonconstant,0.0,4.0,0.004114003634597443,0.0008884181240501046,1.2642829079035267,0.18236799318121294,0.4845799106957912,0.15200872810216107,0.25468855274022645,0.18236799318121294,-0.19212652228505417,0.15200872810216107
DPWGAN,nonconstant,0.0,5.0,0.009219953025309749,0.008919191188560752,1.0426936486112983,0.015568502037442825,0.6550992483340712,0.010312122010753115,0.03309929344799802,0.015568502037442769,-0.0216071846467742,0.010312122010753141
DPWGAN,nonconstant,0.5,1.0,0.4793047162315781,0.2746718073775073,2.3378281792818614,0.598963806902095,0.0307805633781399,0.4616786540188339,1.34161176221954,0.598963806902095,-0.8020037950306687,0.4616786540188339
DPWGAN,nonconstant,0.5,2.0,0.5369054747201791,0.038710995350790256,1.6734049883654287,0.37842016907919335,0.5088828694937667,0.23328145806089706,0.6771885713031075,0.37842016907919335,-0.3239014889150419,0.23328145806089706
DPWGAN,nonconstant,0.5,3.0,0.510588928101296,0.006187361348412797,1.5611738150476095,0.13012847453048268,0.5870673451967083,0.06887242061074933,0.5649573979852884,0.1301284745304826,-0.24571701321210027,0.06887242061074933
DPWGAN,nonconstant,0.5,4.0,0.48909091028958535,0.01899033903851133,1.44440640303348,0.2010844756049786,0.643031139218785,0.10087955336287668,0.44818998597115883,0.2010844756049787,-0.18975321919002358,0.1008795533628767
DPWGAN,nonconstant,0.5,5.0,0.36180421932122453,0.10477593763499854,1.2773110479692302,0.0711536543370894,0.7244251038314508,0.030275616489644067,0.28109463090690917,0.0711536543370894,-0.10835925457735789,0.030275616489644084
DPWGAN,nonconstant,1.0,1.0,0.9668462340794116,0.13605720705502466,2.834930866681342,0.9804172842973035,0.18908421446935966,0.5366467808440889,1.8321856851434153,0.9804172842973036,-0.7183207427244834,0.5366467808440889
DPWGAN,nonconstant,1.0,2.0,0.9903988508771956,0.04244648797277998,2.4095639555474526,0.4431947871012986,0.45086229354790597,0.20851645896284612,1.4068187740095257,0.4431947871012984,-0.4565426636459371,0.20851645896284612
DPWGAN,nonconstant,1.0,3.0,0.9883360758560393,0.034974327174039796,2.175720666112311,0.20703472212110338,0.5609161413880329,0.08492151180146426,1.1729754845743838,0.2070347221211033,-0.3464888158058101,0.08492151180146426
DPWGAN,nonconstant,1.0,4.0,0.965363593522999,0.041111448551284256,1.9840810232841366,0.16529101081491018,0.6354727312837767,0.059650457836185104,0.9813358417462096,0.16529101081491024,-0.27193222591006644,0.05965045783618511
DPWGAN,nonconstant,1.0,5.0,0.7089218809718144,0.11255119494349508,1.5403980240121533,0.14734156773534018,0.7798900540799709,0.04150669412381476,0.5376528424742263,0.1473415677353403,-0.1275149031138721,0.04150669412381478
DPWGAN,nonconstant,2.0,1.0,1.9683456221651212,0.6148255745492796,4.968280064414518,0.8969879006973519,-0.06467213486101904,0.33660395685018807,3.968599690459034,0.8969879006973522,-1.0226627525158176,0.33660395685018796
DPWGAN,nonconstant,2.0,2.0,2.0399113316388595,0.0552734530108029,3.7742718115869764,0.6637188235456111,0.3863739160550709,0.2334725656893475,2.774591437631492,0.6637188235456113,-0.5716167015997276,0.2334725656893475
